frame.time_epoch,frame.len,ip.src,ip.dst,ip.proto,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1776353308.610487000","212","149.43.98.24","239.255.255.250","17","49432","1900",,
"1776353309.119047000","54","149.43.98.24","160.79.104.10","6",,,"61645","443"
"1776353309.134974000","66","160.79.104.10","149.43.98.24","6",,,"443","61645"
"1776353309.162552000","78","149.43.98.24","149.43.134.83","17","52016","53",,
"1776353309.169329000","134","149.43.134.83","149.43.98.24","17","53","52016",,
"1776353309.172234000","78","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.183852000","74","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.183997000","66","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.233884000","248","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.246288000","66","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.317825000","78","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.330574000","74","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.330727000","66","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.333377000","248","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.339145000","1436","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.339147000","1436","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.339149000","451","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.339275000","66","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.346176000","66","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.355714000","141","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.357218000","1436","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.357221000","1436","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.357327000","66","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.357884000","452","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.357934000","66","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.364991000","141","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.365513000","66","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.365630000","117","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.367610000","353","142.250.217.138","149.43.98.24","17","443","64418",,
"1776353309.375384000","66","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.379984000","324","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.380144000","66","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.380966000","119","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.395077000","141","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.395215000","919","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.397545000","74","149.43.98.24","142.250.217.138","17","64418","443",,
"1776353309.408731000","104","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.408926000","104","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.416463000","66","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.416594000","117","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.428931000","66","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.434792000","324","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.434907000","66","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.443037000","586","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.454244000","99","149.43.98.24","149.43.134.83","17","62434","53",,
"1776353309.454399000","99","149.43.98.24","149.43.134.83","17","65217","53",,
"1776353309.456198000","119","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.456757000","212","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.458201000","255","149.43.134.83","149.43.98.24","17","53","62434",,
"1776353309.458867000","99","149.43.98.24","149.43.134.83","17","50937","53",,
"1776353309.460104000","232","149.43.134.83","149.43.98.24","17","53","65217",,
"1776353309.460927000","99","149.43.98.24","149.43.134.83","17","62417","53",,
"1776353309.462018000","66","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.464869000","202","149.43.134.83","149.43.98.24","17","53","50937",,
"1776353309.466589000","179","149.43.134.83","149.43.98.24","17","53","62417",,
"1776353309.468004000","141","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.468007000","97","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.468008000","66","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.468186000","54","149.43.98.24","162.125.4.13","6",,,"61647","443"
"1776353309.469087000","78","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353309.531669000","586","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.557538000","70","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.557540000","74","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.557541000","66","162.125.4.13","149.43.98.24","6",,,"443","61647"
"1776353309.557542000","64","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.557543000","1125","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.557544000","261","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.558102000","75","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.558386000","79","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.558407000","75","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.563607000","67","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.569473000","65","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.572750000","439","149.43.98.24","142.250.190.234","17","57123","443",,
"1776353309.598240000","66","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353309.598271000","1436","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353309.598275000","237","149.43.98.24","17.248.228.14","6",,,"63231","443"
"1776353309.610575000","70","142.250.190.234","149.43.98.24","17","443","57123",,
"1776353309.610766000","212","149.43.98.24","239.255.255.250","17","49432","1900",,
"1776353309.611513000","75","149.43.98.24","149.43.134.84","17","41052","53",,
"1776353309.611637000","75","149.43.98.24","149.43.134.84","17","5745","53",,
"1776353309.612301000","645","162.125.4.13","149.43.98.24","6",,,"443","61646"
"1776353309.612348000","66","149.43.98.24","162.125.4.13","6",,,"61646","443"
"1776353309.615803000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615804000","66","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615804000","1436","17.248.228.14","149.43.98.24","6",,,"443","63231"
"1776353309.615805000","1436","17.248.228.14","149.43.98.24","6",,,"443","63231"
